"","LotConfig","LandSlope","Neighborhood","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"201","Corner","Gtl","Edwards","Norm","1Fam","1Story",4,5,2003,2004,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,1121,1121,"GasA","Ex","Y","SBrkr",1121,0,0,1121,0,0,2,0,2,1,"TA",5,"Typ","Fa","Attchd",2003,"RFn",2,440,"TA","Y",132,64,0,0,0,3,2010,"WD","Normal",140000
"202","Inside","Gtl","Mitchel","Norm","1Fam","1Story",6,6,1977,1977,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",279,276,1196,"GasA","TA","Y","SBrkr",1279,0,0,1279,0,1,2,0,3,1,"TA",6,"Typ","Fa","Detchd",1980,"Unf",2,473,"TA","Y",238,83,0,0,0,2,2008,"WD","Normal",171500
"203","Corner","Gtl","OldTown","Norm","1Fam","1.5Fin",6,6,1924,1950,"Gable","MetalSd","MetalSd","None",0,"TA","Gd","BrkTil","Fa","TA","No","LwQ",0,0,617,"GasA","Gd","Y","SBrkr",865,445,0,1310,0,0,2,0,2,1,"TA",6,"Min1","Fa","Attchd",1924,"Unf",1,398,"TA","Y",0,0,126,0,0,5,2006,"COD","Normal",112000
"204","Inside","Gtl","CollgCr","Norm","TwnhsE","1Story",6,5,2004,2004,"Gable","VinylSd","VinylSd","BrkFace",205,"Gd","TA","PConc","Gd","TA","Av","GLQ",0,186,848,"GasA","Ex","Y","SBrkr",848,0,0,848,1,0,1,0,1,1,"Gd",3,"Typ","Gd","Attchd",2004,"RFn",2,420,"TA","Y",149,0,0,0,0,1,2008,"WD","Normal",149000
"205","Inside","Gtl","OldTown","Norm","1Fam","1.5Fin",5,7,1947,1950,"Gable","AsbShng","AsbShng","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",0,408,720,"GasA","TA","Y","SBrkr",720,564,0,1284,0,0,1,1,2,1,"TA",5,"Typ","Fa","Detchd",1948,"Unf",1,240,"TA","Y",0,35,0,0,0,4,2009,"WD","Normal",110000
"206","Corner","Gtl","Gilbert","Norm","1Fam","1Story",7,5,1990,1990,"Gable","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,1424,1424,"GasA","Ex","Y","SBrkr",1442,0,0,1442,0,0,2,0,3,1,"TA",5,"Typ","TA","Attchd",1990,"RFn",2,500,"TA","Y",0,34,0,508,0,5,2009,"WD","Normal",180500
"207","CulDSac","Gtl","Sawyer","Norm","1Fam","1Story",5,5,1962,1962,"Gable","HdBoard","HdBoard","None",0,"TA","Gd","CBlock","TA","TA","No","Unf",0,1140,1140,"GasA","TA","Y","SBrkr",1696,0,0,1696,0,0,1,1,3,1,"TA",8,"Min2","TA","Attchd",1962,"RFn",1,349,"TA","Y",0,30,0,0,0,3,2007,"WD","Normal",143900
"208","Inside","Gtl","NAmes","Norm","1Fam","1Story",4,5,1960,1960,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","ALQ",306,375,1100,"GasA","TA","Y","SBrkr",1100,0,0,1100,1,0,1,0,3,1,"TA",6,"Typ","Po","Attchd",1960,"RFn",1,312,"TA","Y",355,0,0,0,0,4,2008,"WD","Normal",141000
"209","Inside","Mod","SawyerW","Norm","1Fam","2Story",7,5,1988,1989,"Gable","Plywood","Plywood","BrkFace",128,"Gd","TA","CBlock","Gd","TA","Gd","GLQ",0,92,1157,"GasA","Ex","Y","SBrkr",1180,882,0,2062,1,0,2,1,3,1,"TA",7,"Typ","Gd","Attchd",1988,"Fin",2,454,"TA","Y",60,55,0,0,0,4,2007,"WD","Normal",277000
"210","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,7,1964,1964,"Hip","HdBoard","HdBoard","Stone",260,"TA","TA","CBlock","Gd","TA","No","Rec",0,305,1092,"GasA","Ex","Y","SBrkr",1092,0,0,1092,1,0,1,0,3,1,"TA",6,"Typ","Gd","Attchd",1964,"RFn",2,504,"Gd","Y",0,0,0,0,0,7,2008,"WD","Normal",145000
"211","Inside","Gtl","Edwards","Norm","1Fam","1Story",5,6,1925,1950,"Gable","Stucco","Stucco","None",0,"TA","TA","CBlock","TA","TA","No","Rec",0,396,864,"GasA","TA","N","FuseA",864,0,0,864,1,0,1,0,2,1,"TA",5,"Typ","Fa","Detchd",2007,"Unf",0,0,"Po","Y",0,0,96,0,0,4,2008,"WD","Normal",98000
"212","Corner","Gtl","Edwards","Norm","1Fam","1Story",6,5,2009,2009,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Mn","GLQ",0,1176,1212,"GasA","Ex","Y","SBrkr",1212,0,0,1212,0,0,2,0,3,1,"Gd",6,"Typ","Fa","Attchd",2009,"RFn",2,460,"TA","Y",100,22,0,0,0,3,2010,"WD","Normal",186000
"213","Inside","Gtl","Somerst","Norm","1Fam","2Story",7,5,2009,2009,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",0,78,900,"GasA","Ex","Y","SBrkr",932,920,0,1852,1,0,2,1,3,1,"Gd",7,"Typ","TA","Attchd",2009,"RFn",2,644,"TA","Y",168,108,0,0,0,7,2009,"New","Partial",252678
"214","CulDSac","Gtl","CollgCr","Norm","1Fam","1Story",5,5,1995,1995,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","ALQ",0,274,990,"GasA","Ex","Y","SBrkr",990,0,0,990,0,1,1,0,3,1,"TA",5,"Typ","TA","Attchd",1996,"Unf",2,576,"TA","Y",224,0,0,0,0,7,2006,"WD","Normal",156000
"215","FR2","Gtl","CollgCr","Norm","1Fam","2Story",6,7,1977,1977,"Gable","HdBoard","HdBoard","BrkFace",153,"TA","TA","CBlock","Gd","TA","No","GLQ",0,311,689,"GasA","Ex","Y","SBrkr",689,703,0,1392,0,0,1,1,3,1,"TA",6,"Typ","Ex","Attchd",1977,"Fin",1,299,"TA","Y",0,36,0,0,450,3,2010,"WD","Normal",161750
"216","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,1957,1996,"Gable","HdBoard","HdBoard","BrkFace",64,"TA","TA","CBlock","TA","TA","No","BLQ",0,710,1070,"GasA","TA","Y","SBrkr",1236,0,0,1236,0,1,1,0,2,1,"Gd",6,"Min1","Fa","Attchd",1957,"Unf",1,447,"TA","Y",0,0,0,0,0,5,2006,"WD","Normal",134450
"217","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2004,2004,"Gable","VinylSd","VinylSd","BrkFace",266,"Gd","TA","PConc","Gd","TA","Mn","GLQ",0,490,1436,"GasA","Ex","Y","SBrkr",1436,0,0,1436,1,0,2,0,3,1,"Gd",8,"Typ","Gd","Attchd",2004,"Unf",2,484,"TA","Y",139,98,0,0,0,4,2008,"WD","Normal",210000
"218","Inside","Gtl","OldTown","Norm","1Fam","2Story",4,4,1925,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,686,686,"GasA","Fa","N","SBrkr",810,518,0,1328,0,0,1,0,3,1,"TA",8,"Typ","Po","Detchd",1940,"Unf",1,210,"TA","Y",0,172,60,0,0,9,2006,"WD","Family",107000
"219","Corner","Gtl","Crawfor","Norm","1Fam","1.5Fin",7,9,1939,2006,"Gable","VinylSd","VinylSd","BrkFace",312,"Gd","Gd","CBlock","TA","TA","No","BLQ",0,457,798,"GasA","Ex","Y","SBrkr",1137,817,0,1954,0,1,1,1,3,1,"Gd",8,"Typ","TA","Attchd",1939,"Unf",2,431,"TA","Y",0,119,150,0,0,5,2008,"WD","Normal",311500
"220","Inside","Gtl","Blmngtn","Norm","TwnhsE","1Story",7,5,2005,2006,"Gable","VinylSd","VinylSd","BrkFace",16,"Gd","TA","PConc","Gd","TA","Av","GLQ",0,1232,1248,"GasA","Ex","Y","SBrkr",1248,0,0,1248,0,0,2,0,2,1,"Gd",5,"Typ","Gd","Attchd",2005,"Fin",2,438,"TA","Y",108,0,0,0,0,3,2006,"New","Partial",167240
"221","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2006,2006,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Mn","Unf",0,1498,1498,"GasA","Ex","Y","SBrkr",1498,0,0,1498,0,0,2,0,2,1,"Gd",5,"Typ","Gd","Attchd",2006,"RFn",2,675,"TA","Y",351,33,0,0,0,4,2006,"New","Partial",204900
"222","Inside","Gtl","Gilbert","Norm","1Fam","2Story",6,5,2002,2002,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,1010,1010,"GasA","Ex","Y","SBrkr",1010,1257,0,2267,0,0,2,1,4,1,"Gd",8,"Typ","TA","BuiltIn",2002,"RFn",2,390,"TA","Y",120,46,0,0,0,12,2009,"ConLI","Normal",200000
"223","Inside","Gtl","NWAmes","Norm","1Fam","2Story",6,6,1975,1975,"Gable","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",0,163,713,"GasA","TA","Y","SBrkr",811,741,0,1552,1,0,2,1,3,1,"TA",6,"Typ","TA","Attchd",1975,"RFn",2,434,"TA","Y",209,208,0,0,0,2,2006,"WD","Normal",179900
"224","FR2","Gtl","NAmes","Norm","1Fam","1Story",4,6,1971,1971,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",180,160,864,"GasA","Gd","Y","SBrkr",864,0,0,864,0,0,1,0,2,1,"TA",4,"Typ","Fa","Detchd",1989,"Unf",2,576,"TA","Y",216,0,0,0,0,3,2009,"WD","Abnorml",97000
"225","Inside","Gtl","NridgHt","Norm","1Fam","1Story",10,5,2003,2003,"Hip","VinylSd","VinylSd","BrkFace",922,"Ex","TA","PConc","Ex","TA","Gd","GLQ",0,2336,2392,"GasA","Ex","Y","SBrkr",2392,0,0,2392,0,0,2,0,3,1,"Ex",8,"Typ","Ex","Attchd",2003,"Fin",3,968,"TA","Y",248,105,0,0,0,6,2009,"WD","Normal",386250
"226","Inside","Gtl","BrDale","Norm","Twnhs","2Story",5,5,1971,1971,"Gable","HdBoard","HdBoard","BrkFace",142,"TA","TA","CBlock","TA","TA","No","Unf",0,630,630,"GasA","TA","Y","SBrkr",630,672,0,1302,0,0,2,1,3,1,"TA",6,"Typ","Po","Detchd",1991,"Unf",1,280,"TA","Y",0,0,0,0,0,5,2009,"COD","Abnorml",112000
"227","Inside","Gtl","NoRidge","Norm","1Fam","2Story",7,5,1995,1995,"Gable","VinylSd","VinylSd","BrkFace",290,"Gd","TA","PConc","Gd","TA","No","GLQ",0,638,1203,"GasA","Ex","Y","SBrkr",1214,1306,0,2520,0,0,2,1,4,1,"Gd",9,"Typ","TA","Attchd",1995,"RFn",3,721,"TA","Y",224,114,0,0,0,6,2007,"WD","Abnorml",290000
"228","Inside","Gtl","BrDale","Norm","Twnhs","2Story",6,6,1970,1970,"Gable","HdBoard","HdBoard","BrkFace",127,"TA","TA","CBlock","TA","TA","No","Rec",0,162,483,"GasA","TA","Y","SBrkr",483,504,0,987,0,0,1,1,2,1,"TA",5,"Typ","Po","Detchd",1987,"Unf",1,280,"TA","Y",0,0,0,0,0,9,2008,"WD","Normal",106000
"229","FR2","Gtl","Sawyer","Norm","1Fam","1Story",5,5,1967,1967,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",0,70,912,"GasA","TA","Y","SBrkr",912,0,0,912,0,0,1,0,3,1,"TA",5,"Typ","Fa","Detchd",1974,"Unf",1,336,"TA","Y",0,0,0,0,0,5,2010,"WD","Normal",125000
"230","Inside","Gtl","Blmngtn","Norm","TwnhsE","1Story",7,5,2005,2006,"Gable","VinylSd","VinylSd","BrkFace",16,"Gd","TA","PConc","Gd","TA","Av","GLQ",0,1357,1373,"GasA","Ex","Y","SBrkr",1555,0,0,1555,0,0,2,0,2,1,"Gd",7,"Typ","TA","Attchd",2005,"Fin",2,430,"TA","Y",143,20,0,0,0,5,2009,"WD","Normal",192500
"231","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,6,1959,1959,"Hip","MetalSd","MetalSd","BrkFace",220,"TA","TA","CBlock","TA","TA","No","Unf",0,1194,1194,"GasA","TA","Y","SBrkr",1194,0,0,1194,1,0,1,0,3,1,"TA",6,"Typ","TA","Attchd",1959,"RFn",1,312,"TA","Y",0,0,120,0,0,4,2010,"WD","Normal",148000
"232","Inside","Gtl","NoRidge","Norm","1Fam","2Story",8,5,1995,1996,"Gable","VinylSd","VinylSd","BrkFace",506,"Gd","TA","PConc","Gd","TA","No","GLQ",0,773,1462,"GasA","Ex","Y","SBrkr",1490,1304,0,2794,1,0,2,1,4,1,"Ex",9,"Typ","TA","Attchd",1995,"Fin",3,810,"TA","Y",0,146,202,0,0,7,2009,"WD","Normal",403000
"233","Inside","Gtl","BrDale","Norm","Twnhs","2Story",6,5,1972,1972,"Gable","HdBoard","HdBoard","BrkFace",297,"TA","TA","CBlock","TA","TA","No","Unf",0,483,483,"GasA","TA","Y","SBrkr",483,504,0,987,0,0,1,1,2,1,"TA",5,"Typ","Po","Attchd",1972,"Unf",1,288,"TA","Y",0,0,0,0,0,6,2006,"WD","Normal",94500
"234","Corner","Gtl","CollgCr","Norm","1Fam","1Story",5,6,1976,1976,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","Gd","Av","LwQ",712,0,894,"GasA","TA","Y","SBrkr",894,0,0,894,1,0,1,0,3,1,"TA",5,"Typ","Po","Attchd",1976,"Unf",1,308,"TA","Y",365,0,0,0,0,2,2010,"WD","Normal",128200
"235","Inside","Gtl","Gilbert","Norm","1Fam","2Story",6,5,2002,2002,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",0,235,860,"GasA","Ex","Y","SBrkr",860,1100,0,1960,1,0,2,1,4,1,"Gd",8,"Typ","TA","BuiltIn",2002,"Fin",2,440,"TA","Y",288,48,0,0,0,5,2010,"WD","Normal",216500
"236","Inside","Gtl","BrDale","Norm","TwnhsE","2Story",6,3,1971,1971,"Gable","HdBoard","HdBoard","BrkFace",604,"TA","TA","CBlock","TA","TA","No","ALQ",0,125,483,"GasA","TA","Y","SBrkr",483,504,0,987,0,0,1,1,2,1,"TA",5,"Typ","Fa","Detchd",1971,"Unf",1,264,"TA","Y",0,0,0,0,0,8,2008,"WD","Normal",89500
"237","FR2","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2004,2004,"Gable","VinylSd","VinylSd","BrkFace",98,"Gd","TA","PConc","Gd","TA","Av","GLQ",0,1390,1414,"GasA","Ex","Y","SBrkr",1414,0,0,1414,0,0,2,0,3,1,"Gd",6,"Typ","Gd","Attchd",2004,"RFn",2,494,"TA","Y",132,105,0,0,0,5,2010,"WD","Normal",185500
"238","CulDSac","Gtl","SawyerW","Norm","1Fam","2Story",7,7,1993,2003,"Gable","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","No","BLQ",0,594,996,"GasA","Ex","Y","SBrkr",1014,730,0,1744,0,0,2,1,3,1,"Gd",7,"Typ","TA","Attchd",1993,"RFn",2,457,"TA","Y",370,70,0,238,0,2,2010,"WD","Normal",194500
"239","Inside","Gtl","NridgHt","Norm","1Fam","1Story",8,5,2007,2007,"Hip","VinylSd","VinylSd","BrkFace",254,"Ex","TA","PConc","Ex","TA","No","Unf",0,1694,1694,"GasA","Ex","Y","SBrkr",1694,0,0,1694,0,0,2,0,3,1,"Gd",7,"Typ","Gd","Attchd",2007,"Fin",3,818,"TA","Y",168,228,0,0,0,12,2007,"New","Partial",318000
"240","Inside","Gtl","Edwards","Norm","1Fam","1.5Fin",6,4,1945,1950,"Gable","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","Fa","No","LwQ",0,641,735,"GasA","TA","Y","FuseA",798,689,0,1487,0,0,1,1,3,1,"TA",7,"Typ","Gd","Detchd",1949,"Unf",1,220,"TA","Y",0,140,0,0,0,4,2010,"WD","Normal",113000
"241","Inside","Gtl","Somerst","Norm","1Fam","1Story",8,5,2008,2008,"Gable","VinylSd","VinylSd","Stone",36,"Gd","TA","PConc","Gd","TA","Av","GLQ",0,488,1566,"GasA","Ex","Y","SBrkr",1566,0,0,1566,1,0,2,0,3,1,"Gd",7,"Typ","Gd","Attchd",2008,"RFn",2,750,"TA","Y",144,168,0,0,0,4,2010,"WD","Normal",262500
"242","Inside","Gtl","OldTown","Norm","1Fam","1Story",5,9,1945,1997,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",0,357,686,"GasA","Gd","Y","SBrkr",866,0,0,866,0,0,1,0,2,1,"Gd",4,"Typ","Ex","Attchd",2009,"Unf",0,0,"Po","Y",58,42,0,0,0,8,2007,"WD","Normal",110500
"243","Corner","Gtl","OldTown","Norm","1Fam","1.5Fin",5,4,1900,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,540,540,"GasA","Gd","N","FuseA",889,551,0,1440,0,0,1,0,3,1,"TA",6,"Typ","Po","Attchd",1940,"Unf",1,352,"TA","Y",0,0,77,0,0,4,2006,"WD","Normal",79000
"244","Corner","Gtl","SawyerW","Norm","TwnhsE","2Story",6,6,1980,1980,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","Unf",0,626,626,"GasA","TA","Y","SBrkr",626,591,0,1217,0,0,1,1,3,1,"TA",6,"Typ","TA","Attchd",1980,"RFn",1,288,"TA","Y",0,28,0,0,0,4,2009,"WD","Normal",120000
"245","Inside","Gtl","SawyerW","Norm","1Fam","2Story",7,5,1994,2002,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",0,253,948,"GasA","Ex","Y","SBrkr",1222,888,0,2110,1,0,2,1,3,1,"Gd",8,"Typ","Fa","Attchd",1994,"RFn",2,463,"TA","Y",0,130,0,0,0,5,2010,"WD","Normal",205000
"246","Inside","Gtl","NWAmes","Norm","1Fam","1Story",7,5,1988,1988,"Gable","Wd Sdng","Wd Sdng","BrkFace",102,"TA","TA","CBlock","Gd","TA","Av","GLQ",0,916,1845,"GasA","Gd","Y","SBrkr",1872,0,0,1872,0,1,2,0,3,1,"TA",6,"Typ","TA","Attchd",1988,"Fin",2,604,"TA","Y",197,39,0,0,0,6,2006,"WD","Normal",241500
"247","Inside","Gtl","OldTown","Norm","2fmCon","2Story",6,8,1910,1950,"Gable","AsbShng","AsbShng","None",0,"TA","Fa","Stone","Fa","TA","No","Unf",0,1020,1020,"GasA","Gd","N","FuseP",908,1020,0,1928,0,0,2,0,4,2,"Fa",9,"Typ","Po","Detchd",1910,"Unf",1,440,"Po","Y",0,60,112,0,0,4,2006,"WD","Normal",137000
"248","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,5,1954,1954,"Hip","Wd Sdng","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,1367,1367,"GasA","Ex","Y","SBrkr",1375,0,0,1375,0,0,1,0,2,1,"TA",5,"Typ","TA","Attchd",1954,"Unf",2,451,"TA","Y",0,30,0,0,0,6,2006,"WD","Normal",140000
"249","Inside","Gtl","CollgCr","Norm","1Fam","2Story",7,5,2003,2003,"Gable","VinylSd","VinylSd","BrkFace",101,"Gd","TA","PConc","Gd","TA","No","Unf",0,840,840,"GasA","Ex","Y","SBrkr",840,828,0,1668,0,0,2,1,3,1,"Gd",8,"Typ","TA","Attchd",2003,"RFn",2,500,"TA","Y",144,68,0,0,0,9,2007,"WD","Normal",180000
"250","CulDSac","Sev","ClearCr","Norm","1Fam","1.5Fin",6,7,1958,2006,"Gable","Wd Sdng","HdBoard","BrkCmn",472,"Gd","TA","CBlock","Gd","TA","Gd","Rec",0,747,1444,"GasA","Gd","Y","SBrkr",1444,700,0,2144,0,1,2,0,4,1,"Gd",7,"Typ","TA","Attchd",1958,"Fin",2,389,"TA","Y",0,98,0,0,500,6,2007,"WD","Normal",277000
"251","Inside","Gtl","BrkSide","Norm","1Fam","1Story",3,2,1940,1966,"Gable","Wd Sdng","Plywood","None",0,"TA","Po","CBlock","TA","TA","No","Unf",0,728,728,"GasA","Ex","Y","SBrkr",1306,0,0,1306,0,0,1,0,3,1,"Fa",6,"Mod","Gd","Detchd",2009,"Unf",0,0,"Po","Y",263,0,0,0,450,5,2010,"WD","Normal",76500
"252","Inside","Mod","Crawfor","Norm","TwnhsE","1Story",8,5,2006,2007,"Hip","VinylSd","VinylSd","Stone",481,"Gd","TA","PConc","Gd","TA","Gd","GLQ",0,0,1573,"GasA","Ex","Y","SBrkr",1625,0,0,1625,1,1,2,0,2,1,"Gd",5,"Typ","Gd","Attchd",2006,"Fin",2,538,"TA","Y",123,0,0,0,0,12,2007,"WD","Family",235000
"253","Inside","Gtl","SawyerW","Norm","1Fam","2Story",6,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,798,798,"GasA","Ex","Y","SBrkr",798,842,0,1640,0,0,2,1,3,1,"Gd",6,"Typ","Po","Attchd",2004,"RFn",2,520,"TA","Y",138,45,0,0,0,12,2008,"WD","Normal",173000
"254","Inside","Gtl","NAmes","Norm","1Fam","SLvl",6,7,1964,1991,"Hip","HdBoard","HdBoard","BrkFace",108,"TA","TA","CBlock","Gd","TA","Gd","LwQ",580,452,1302,"GasA","Ex","Y","SBrkr",1302,0,0,1302,0,1,2,0,3,1,"Gd",7,"Min1","TA","Attchd",1964,"RFn",1,309,"TA","Y",333,0,0,0,0,10,2007,"CWD","Normal",158000
"255","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,1957,1957,"Gable","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","Rec",0,392,1314,"GasA","TA","Y","SBrkr",1314,0,0,1314,1,0,1,0,3,1,"TA",5,"Typ","Gd","Attchd",1957,"RFn",1,294,"TA","Y",250,0,0,0,0,6,2010,"WD","Normal",145000
"256","Inside","Gtl","Gilbert","Norm","1Fam","2Story",7,5,1999,1999,"Gable","VinylSd","VinylSd","BrkFace",302,"Gd","TA","PConc","Gd","TA","No","Unf",0,975,975,"GasA","Ex","Y","SBrkr",1005,1286,0,2291,0,0,2,1,4,1,"Gd",8,"Typ","TA","BuiltIn",1999,"Fin",2,429,"TA","Y",192,0,0,0,0,2,2006,"WD","Normal",230000
"257","Inside","Gtl","Somerst","Norm","1Fam","2Story",6,5,2003,2003,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Rec",0,361,864,"GasA","Ex","Y","SBrkr",864,864,0,1728,0,0,2,1,3,1,"Gd",7,"Typ","TA","Attchd",2003,"RFn",2,673,"TA","Y",216,56,0,0,0,5,2008,"WD","Normal",207500
"258","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2006,2006,"Gable","VinylSd","VinylSd","Stone",180,"Gd","TA","PConc","Gd","TA","No","GLQ",0,270,1604,"GasA","Ex","Y","SBrkr",1604,0,0,1604,1,0,2,1,3,1,"Gd",8,"Typ","Gd","Attchd",2006,"RFn",2,660,"TA","Y",123,110,0,0,0,3,2009,"WD","Abnorml",220000
"259","Inside","Gtl","CollgCr","Norm","1Fam","2Story",7,5,2001,2001,"Gable","VinylSd","VinylSd","BrkFace",172,"Gd","TA","PConc","Gd","TA","No","GLQ",0,602,963,"GasA","Ex","Y","SBrkr",963,829,0,1792,0,0,2,1,3,1,"Gd",7,"Typ","TA","Attchd",2001,"RFn",2,564,"TA","Y",0,96,0,245,0,5,2008,"WD","Normal",231500
"260","Inside","Gtl","OldTown","Norm","1Fam","1Story",5,5,1956,1956,"Gable","BrkFace","BrkFace","None",0,"TA","TA","PConc","Fa","TA","No","Unf",0,0,0,"GasA","Gd","Y","FuseA",882,0,0,882,0,0,1,0,2,1,"TA",4,"Typ","Po","Detchd",1956,"Unf",1,308,"TA","Y",0,45,0,0,0,12,2008,"WD","Normal",97000
"261","Corner","Gtl","NAmes","Norm","1Fam","SLvl",6,5,1962,1962,"Gable","Wd Sdng","Wd Sdng","BrkFace",399,"TA","TA","CBlock","TA","TA","Gd","Rec",690,0,1362,"GasA","TA","Y","SBrkr",1382,0,0,1382,1,0,1,0,3,1,"TA",6,"Typ","TA","Attchd",1991,"Unf",2,884,"TA","Y",0,0,252,0,0,5,2009,"WD","Normal",176000
"262","Inside","Gtl","CollgCr","Norm","1Fam","2Story",8,5,2007,2007,"Gable","CemntBd","CmentBd","Stone",270,"Gd","TA","PConc","Ex","TA","No","Unf",0,1482,1482,"GasA","Ex","Y","SBrkr",1482,1092,0,2574,0,0,2,1,3,1,"Ex",10,"Typ","Gd","BuiltIn",2007,"Fin",3,868,"TA","Y",0,148,0,0,0,11,2007,"New","Partial",276000
"263","Corner","Gtl","Sawyer","Norm","1Fam","SLvl",6,7,1977,1995,"Gable","HdBoard","Plywood","BrkFace",46,"TA","TA","CBlock","Gd","Gd","Av","ALQ",0,0,506,"GasA","TA","Y","SBrkr",1212,0,0,1212,1,0,1,0,3,1,"TA",6,"Typ","TA","Attchd",1978,"Unf",2,492,"TA","Y",292,12,0,0,0,7,2006,"WD","Normal",151000
"264","Corner","Gtl","OldTown","Norm","1Fam","1.5Fin",5,7,1929,2001,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","LwQ",692,0,926,"GasA","TA","Y","SBrkr",926,0,390,1316,1,0,1,0,3,1,"TA",6,"Typ","Fa","Detchd",1974,"Unf",2,484,"TA","Y",0,0,0,0,0,4,2010,"WD","Normal",130000
"265","Inside","Gtl","OldTown","Norm","1Fam","1Story",5,5,1925,2004,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","Fa","TA","No","Unf",0,680,680,"GasA","Gd","N","FuseP",764,0,0,764,0,0,1,0,2,1,"TA",4,"Typ","Po","Detchd",1965,"Unf",2,504,"TA","N",0,0,0,0,0,6,2008,"WD","Normal",73000
"266","Inside","Gtl","NWAmes","Norm","1Fam","1Story",6,6,1981,1981,"Gable","MetalSd","MetalSd","BrkFace",210,"TA","Gd","CBlock","Gd","TA","No","GLQ",228,606,1422,"GasA","TA","Y","SBrkr",1422,0,0,1422,0,0,2,0,3,1,"Gd",7,"Typ","TA","Attchd",1981,"Fin",2,576,"TA","Y",276,0,0,0,0,6,2008,"WD","Normal",175500
"267","FR2","Gtl","Gilbert","Norm","1Fam","2Story",6,5,1997,1997,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Av","GLQ",0,88,802,"GasA","Gd","Y","SBrkr",802,709,0,1511,1,0,2,1,3,1,"TA",8,"Typ","TA","Attchd",1997,"Fin",2,413,"TA","Y",95,75,0,0,0,6,2006,"WD","Normal",185000
